STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_HELPTEXT             :Если включено, то анимация воды отключится, если масштаб изображения будет на указанном и большем уровене отдаления.{}Это может помочь избежать графических артефактов с анимированной водой при высоких уровнях отдаления в некоторых наборах базовой графики.
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_8X                   :8x
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_16X                  :16x
STR_CONFIG_SETTING_DISABLE_WATER_ANIMATION_32X                  :32x

STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT              :По умолчанию показывать занятость задания: {STRING}
STR_CONFIG_SETTING_SHOW_ORDER_OCCUPANCY_BY_DEFAULT_HELPTEXT     :По умолчанию при открытии окна заказов транспортного средства показывается подробная информация о занятости каждого задания

STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME                    :Показывать иерархию групп в имени: {STRING}
STR_CONFIG_SETTING_SHOW_GROUP_HIERARCHY_NAME_HELPTEXT           :Если включено, то имена групп включают полную иерархию имен их родительских групп

STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME            :Отображение иерархии групп в названиях транспортных средств: {STRING}
STR_CONFIG_SETTING_SHOW_VEHICLE_GROUP_HIERARCHY_NAME_HELPTEXT   :Если включены эта функция и показ иерархии групп в имени, то в названиях транспортных средств, включающих имя группы, используется полное имя группы с иерархией

STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW            :Отображение номера задания в окне просмотра транспортного средства: {STRING}
STR_CONFIG_SETTING_SHOW_ORDER_NUMBER_IN_VEHICLE_VIEW_HELPTEXT   :Если включено, то текущий заказ транспортного средства будет отображаться в окне просмотра транспортного средства на панели запуска/остановки

STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW             :Показывать скорость до пункта назначения в окне просмотра транспортного средства: {STRING}
STR_CONFIG_SETTING_SHOW_SPEED_FIRST_IN_VEHICLE_VIEW_HELPTEXT    :Если включено, то в окне просмотра транспортного средства скорость будет отображается перед пунктом назначения в строке запуска/остановки

STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW                  :Краткий статус транспортного средства в его окне: {STRING}
STR_CONFIG_SETTING_SHORTEN_STATUS_VEHICLE_VIEW_HELPTEXT         :Если включено, то текст, используемый для отображения пункта назначения в окне просмотра транспортного средства будет сокращён.

STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION                   :Скрывать места остановки заданий по умолчанию: {STRING}
STR_CONFIG_SETTING_HIDE_DEFAULT_STOP_LOCATION_HELPTEXT          :Если включено, то место остановки задания будет скрыто, если оно совпадает со стандартным.

STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL                              :Показывать инструмент полилинии рельса: {STRING}
STR_CONFIG_SHOW_RAIL_POLYLINE_TOOL_HELPTEXT                     :Если включено, то на панели инструментов строительства рельсов появится кнопка для построения в режиме полилинии.
